second,avg_latency_ms_consul,throughput_consul,avg_cpu_consul,avg_memory_mb_consul,avg_latency_ms_etcd,throughput_etcd,avg_cpu_etcd,avg_memory_mb_etcd,avg_latency_ms_etcd2,throughput_etcd2,avg_cpu_etcd2,avg_memory_mb_etcd2,avg_latency_ms_zk,throughput_zk,avg_cpu_zk,avg_memory_mb_zk
208,13.918922,72,7.36,42.32,4.548723,220,18.34,86.77,4.338907,230,8.21,283.57,,,,
209,13.657182,73,7.37,42.32,4.735873,211,18.36,86.97,4.520102,221,8.24,283.57,,,,
210,13.919118,72,7.37,42.41,4.598769,217,18.36,87.34,4.626321,216,8.37,386.28,,,,
211,13.982157,72,7.38,42.50,4.489422,222,18.38,87.44,4.210623,237,8.39,386.28,,,,
212,13.575393,73,7.39,42.50,4.493234,223,18.38,87.55,4.319317,231,8.41,386.28,,,,
213,14.640285,68,7.40,42.59,4.639273,216,18.40,87.89,4.234959,235,8.43,386.28,,,,
214,14.567641,69,7.40,42.94,4.626657,215,18.42,89.05,4.245465,236,8.45,386.28,,,,
215,14.461059,69,7.41,43.29,4.449719,225,18.42,89.05,4.297127,13,8.46,386.28,,,,
216,14.709048,68,7.41,43.29,4.372514,228,18.44,89.05,,,,,,,,
217,14.366614,70,7.42,43.38,4.264059,235,18.45,89.19,,,,,,,,
218,14.559020,69,7.42,43.47,4.521959,221,18.46,89.19,,,,,,,,
219,15.040686,66,7.43,43.56,4.520391,221,18.48,90.03,,,,,,,,
220,14.665600,68,7.44,43.65,4.547152,219,18.48,90.03,,,,,,,,
221,14.498657,69,7.44,43.82,4.600754,217,18.49,90.24,,,,,,,,
222,14.838379,68,7.45,44.18,4.528817,221,18.50,90.24,,,,,,,,
223,14.468431,68,7.45,44.26,4.618870,216,18.51,90.90,,,,,,,,
224,14.780222,68,7.45,44.35,4.461487,224,18.53,91.00,,,,,,,,
225,14.788698,68,7.47,44.70,4.645229,215,18.53,91.09,,,,,,,,
226,14.874125,67,7.47,44.70,4.426482,226,18.54,91.71,,,,,,,,
227,15.334760,65,7.47,44.87,4.407913,226,18.55,91.71,,,,,,,,
228,14.793220,68,7.48,44.96,4.552014,126,18.50,91.71,,,,,,,,
229,14.552412,69,7.48,45.23,,,,,,,,,,,,
230,14.594760,68,7.49,45.31,,,,,,,,,,,,
231,14.992780,67,7.49,45.31,,,,,,,,,,,,
232,15.159743,66,7.50,45.49,,,,,,,,,,,,
233,14.469426,69,7.50,45.84,,,,,,,,,,,,
234,14.558078,69,7.51,45.93,,,,,,,,,,,,
235,14.439460,69,7.51,46.02,,,,,,,,,,,,
236,14.555094,68,7.52,46.10,,,,,,,,,,,,
237,14.357290,70,7.52,46.10,,,,,,,,,,,,
238,14.720750,68,7.53,46.28,,,,,,,,,,,,
239,14.699572,68,7.53,46.37,,,,,,,,,,,,
240,14.306599,70,7.54,46.55,,,,,,,,,,,,
241,14.553462,69,7.55,46.72,,,,,,,,,,,,
242,14.221859,69,7.55,46.90,,,,,,,,,,,,
243,14.357799,71,7.55,46.90,,,,,,,,,,,,
244,14.745305,67,7.56,47.07,,,,,,,,,,,,
245,14.435995,70,7.56,47.25,,,,,,,,,,,,
246,14.512829,69,7.57,47.51,,,,,,,,,,,,
247,14.385706,69,7.57,47.78,,,,,,,,,,,,
248,14.655376,68,7.57,47.78,,,,,,,,,,,,
249,14.624003,69,7.58,47.96,,,,,,,,,,,,
250,14.380439,69,7.58,47.96,,,,,,,,,,,,
251,14.564326,69,7.58,47.96,,,,,,,,,,,,
252,14.381413,69,7.59,48.22,,,,,,,,,,,,
253,14.740198,68,7.60,48.31,,,,,,,,,,,,
254,14.179022,71,7.59,48.40,,,,,,,,,,,,
255,14.525842,68,7.60,48.48,,,,,,,,,,,,
256,14.666354,69,7.61,48.57,,,,,,,,,,,,
257,14.686562,68,7.61,48.75,,,,,,,,,,,,
258,14.513091,69,7.61,49.01,,,,,,,,,,,,
259,14.493422,69,7.62,49.10,,,,,,,,,,,,
260,14.416273,69,7.62,49.28,,,,,,,,,,,,
261,14.430840,69,7.63,49.37,,,,,,,,,,,,
262,14.241981,70,7.63,49.45,,,,,,,,,,,,
263,14.159602,70,7.64,49.63,,,,,,,,,,,,
264,14.800965,69,7.64,49.72,,,,,,,,,,,,
265,14.520017,68,7.64,49.72,,,,,,,,,,,,
266,14.680912,68,7.65,49.89,,,,,,,,,,,,
267,14.418563,70,7.65,49.89,,,,,,,,,,,,
268,14.469298,69,7.65,49.89,,,,,,,,,,,,
269,14.703572,68,7.66,50.57,,,,,,,,,,,,
270,14.296381,70,7.66,50.66,,,,,,,,,,,,
271,14.127602,71,7.66,50.75,,,,,,,,,,,,
272,14.675953,68,7.67,50.92,,,,,,,,,,,,
273,14.280674,70,7.67,51.01,,,,,,,,,,,,
274,14.465358,69,7.67,51.10,,,,,,,,,,,,
275,14.610141,68,7.68,51.19,,,,,,,,,,,,
276,14.379133,70,7.68,51.28,,,,,,,,,,,,
277,14.702726,68,7.68,51.56,,,,,,,,,,,,
278,14.558883,69,7.69,51.74,,,,,,,,,,,,
279,14.574348,68,7.69,52.01,,,,,,,,,,,,
280,14.699830,68,7.69,52.01,,,,,,,,,,,,
281,14.590601,69,7.70,52.35,,,,,,,,,,,,
282,14.718324,68,7.70,52.44,,,,,,,,,,,,
283,14.832047,66,7.70,52.53,,,,,,,,,,,,
284,14.782722,69,7.71,52.53,,,,,,,,,,,,
285,14.674153,68,7.71,52.53,,,,,,,,,,,,
286,14.662129,68,7.71,52.53,,,,,,,,,,,,
287,14.580778,69,7.72,52.97,,,,,,,,,,,,
288,14.921556,67,7.72,52.97,,,,,,,,,,,,
289,14.580096,68,7.72,53.23,,,,,,,,,,,,
290,15.110878,66,7.74,52.94,,,,,,,,,,,,
291,15.016330,67,7.75,53.37,,,,,,,,,,,,
292,14.266730,70,7.75,53.81,,,,,,,,,,,,
293,14.235872,70,7.75,53.90,,,,,,,,,,,,
294,14.306799,70,7.76,54.52,,,,,,,,,,,,
295,14.112447,71,7.76,54.52,,,,,,,,,,,,
296,14.735902,68,7.77,54.70,,,,,,,,,,,,
297,14.885605,67,7.77,54.70,,,,,,,,,,,,
298,14.435944,69,7.77,54.87,,,,,,,,,,,,
299,14.306926,70,7.78,54.96,,,,,,,,,,,,
300,14.270429,70,7.79,55.05,,,,,,,,,,,,
301,13.805290,73,7.79,55.05,,,,,,,,,,,,
302,14.841229,67,7.79,55.31,,,,,,,,,,,,
303,14.304189,70,7.80,55.40,,,,,,,,,,,,
304,14.420117,69,7.80,55.40,,,,,,,,,,,,
305,14.495337,69,7.81,55.49,,,,,,,,,,,,
306,14.119420,71,7.81,55.86,,,,,,,,,,,,
307,14.209160,70,7.81,55.95,,,,,,,,,,,,
308,14.296839,70,7.82,56.04,,,,,,,,,,,,
309,14.324472,70,7.82,56.04,,,,,,,,,,,,
310,14.365460,69,7.82,56.13,,,,,,,,,,,,
311,14.290712,70,7.83,56.22,,,,,,,,,,,,
312,14.291497,70,7.83,56.30,,,,,,,,,,,,
313,14.176422,71,7.84,56.74,,,,,,,,,,,,
314,14.417713,69,7.84,56.74,,,,,,,,,,,,
315,14.479077,69,7.84,57.00,,,,,,,,,,,,
316,15.015931,67,7.85,57.00,,,,,,,,,,,,
317,14.394159,69,7.85,57.00,,,,,,,,,,,,
318,13.998008,72,7.85,57.09,,,,,,,,,,,,
319,13.722974,73,7.86,57.53,,,,,,,,,,,,
320,14.448404,69,7.86,57.53,,,,,,,,,,,,
321,14.121130,71,7.86,57.71,,,,,,,,,,,,
322,14.387616,69,7.87,57.89,,,,,,,,,,,,
323,14.190012,71,7.87,54.51,,,,,,,,,,,,
324,14.807455,67,7.88,54.51,,,,,,,,,,,,
325,14.299143,70,7.88,54.60,,,,,,,,,,,,
326,14.390632,70,7.89,54.87,,,,,,,,,,,,
327,14.604074,68,7.89,54.87,,,,,,,,,,,,
328,14.388401,69,7.90,57.23,,,,,,,,,,,,
329,14.629289,69,7.91,59.09,,,,,,,,,,,,
330,14.259401,70,7.91,60.24,,,,,,,,,,,,
