unix_ts,avg_latency_ms,throughput,cpu_1,memory_mb_1,cpu_2,memory_mb_2,cpu_3,memory_mb_3,avg_cpu,avg_memory_mb
1458768657,384.882127,1259,77.21,2044.23,69.24,1855.82,68.99,1719.45,71.81,1873.17
1458768658,327.059846,1312,76.26,2044.23,68.36,1855.82,68.11,1719.45,70.91,1873.17
1458768659,301.580261,1104,75.32,2049.44,67.51,1855.82,67.24,1719.45,70.02,1874.90
1458768660,432.707648,1128,74.40,2049.44,66.67,1855.82,66.41,1719.45,69.16,1874.90
1458768661,495.720797,1037,74.17,2049.44,66.32,1855.82,66.03,1719.45,68.84,1874.90
1458768662,512.967218,584,76.55,2052.21,68.34,1855.82,67.66,1719.45,70.85,1875.83
1458768663,697.907306,812,81.06,2052.32,71.57,1856.72,71.02,1719.97,74.55,1876.34
1458768664,698.094897,930,86.53,2053.08,76.46,1857.94,76.05,1721.09,79.68,1877.37
1458768665,373.568927,1043,92.81,2104.32,80.96,2096.07,80.76,2082.11,84.84,2094.17
1458768666,386.087797,944,98.66,2428.45,87.00,2237.38,86.16,2082.33,90.61,2249.39
1458768667,453.451012,1331,104.38,2428.63,92.22,2237.38,91.53,2245.46,96.04,2303.82
1458768668,473.770925,1277,109.70,2632.04,97.19,2467.74,96.63,2553.43,101.17,2551.07
1458768669,324.180776,873,115.51,3061.92,102.96,2505.56,101.07,3114.02,106.51,2893.83
1458768670,571.896791,893,120.43,3120.98,107.93,2774.23,106.16,3124.16,111.51,3006.46
1458768671,484.510051,654,126.18,3120.98,112.85,3002.15,111.08,3124.16,116.70,3082.43
1458768672,457.330050,828,131.23,3454.41,116.39,3394.03,116.23,3527.28,121.28,3458.57
1458768673,482.554559,843,135.69,3497.80,121.19,3408.37,120.48,3527.28,125.79,3477.82
1458768674,512.588158,1097,139.67,3514.35,125.29,3408.37,124.38,3527.28,129.78,3483.33
1458768675,379.962812,479,144.07,3973.60,129.05,3410.04,128.74,3527.28,133.95,3636.97
1458768676,353.058548,127,146.39,4553.99,132.41,3410.04,132.24,3527.28,137.01,3830.44
1458768677,576.978708,188,149.01,4554.05,133.75,3693.43,133.61,3527.28,138.79,3924.92
1458768678,891.506210,155,150.11,4554.05,134.94,3693.43,134.99,3527.28,140.01,3924.92
1458768679,594.745339,132,150.07,4579.28,135.07,3693.43,134.97,3527.28,140.04,3933.33
1458768680,924.545951,74,150.11,4598.20,135.08,3693.43,134.54,3527.28,139.91,3939.64
1458768681,526.104946,29,150.05,4598.20,135.82,3693.43,135.20,3527.28,140.36,3939.64
1458768682,387.570056,15,152.30,4598.20,137.70,3693.43,135.45,3527.28,141.82,3939.64
1458768683,1098.670000,10,153.88,4598.20,138.60,3693.43,137.15,3527.55,143.21,3939.73
1458768684,518.917290,29,155.04,4598.20,142.17,3693.80,139.08,3527.55,145.43,3939.85
1458768685,701.656774,6,154.78,4598.20,143.30,3693.80,139.78,3527.55,145.95,3939.85
1458768686,420.619693,27,155.37,4598.20,143.19,3693.80,140.00,3527.55,146.19,3939.85
1458768687,1385.936287,12,154.59,4598.20,144.07,3693.80,140.66,3527.55,146.44,3939.85
1458768688,1697.852461,3,153.41,4598.20,143.37,3693.80,140.05,3527.55,145.61,3939.85
1458768690,152.395460,2885,152.24,4598.20,142.45,3693.80,139.10,3527.55,144.60,3939.85
