second,avg_latency_ms_consul,throughput_consul,avg_cpu_consul,avg_memory_mb_consul,avg_latency_ms_etcd,throughput_etcd,avg_cpu_etcd,avg_memory_mb_etcd,avg_latency_ms_etcd2,throughput_etcd2,avg_cpu_etcd2,avg_memory_mb_etcd2,avg_latency_ms_zk,throughput_zk,avg_cpu_zk,avg_memory_mb_zk
45,212.996517,4513,72.16,427.36,68.775769,14604,161.72,428.99,522.696786,1995,83.59,1872.70,,,,
46,230.982982,4510,72.83,440.31,79.487696,12332,163.33,437.53,627.424363,1649,82.37,1872.70,,,,
47,210.972790,4583,73.32,447.68,71.031510,13770,164.46,442.79,393.301820,2873,81.17,1872.70,,,,
48,229.159952,4548,74.01,461.25,75.426483,12996,165.41,447.47,511.112081,1710,80.01,1873.17,,,,
49,205.671945,4827,74.44,468.34,71.088180,14525,167.31,455.24,594.584970,1615,78.88,1873.17,,,,
50,214.228792,4729,75.15,483.23,68.124925,14410,168.53,461.24,130.934238,6940,77.78,1873.17,,,,
51,211.079690,4736,75.52,491.22,77.249869,12460,169.63,469.01,391.405307,1148,76.72,1873.17,,,,
52,236.599037,4096,76.17,505.63,72.815901,14479,171.07,476.85,526.081393,813,75.69,1873.17,,,,
53,212.881996,4800,76.28,505.83,73.780797,13495,172.36,483.20,416.264815,1266,74.68,1873.17,,,,
54,234.439492,4224,77.21,528.62,77.041360,13038,173.46,488.58,518.449199,1027,73.70,1873.17,,,,
55,214.614202,4736,77.27,529.75,67.311927,14510,174.53,492.85,448.904089,1016,72.75,1873.17,,,,
56,232.492159,4096,77.92,510.29,76.788322,12772,175.41,500.67,384.882127,1259,71.81,1873.17,,,,
57,214.889407,4672,78.22,443.34,77.228298,12657,176.50,507.90,327.059846,1312,70.91,1873.17,,,,
58,214.542889,4840,78.37,454.91,67.840943,15757,178.18,515.90,301.580261,1104,70.02,1874.90,,,,
59,241.403237,4196,79.19,470.23,66.033414,14998,179.34,522.39,432.707648,1128,69.16,1874.90,,,,
60,222.022903,4257,79.24,471.47,70.737625,12808,180.31,528.53,495.720797,1037,68.84,1874.90,,,,
61,276.320819,3763,79.92,491.61,86.659856,12531,181.07,538.10,512.967218,584,70.85,1875.83,,,,
62,238.007065,4138,79.99,494.74,68.473252,14416,182.15,541.74,697.907306,812,74.55,1876.34,,,,
63,280.440321,3378,79.83,497.14,75.369033,13242,182.98,546.60,698.094897,930,79.68,1877.37,,,,
64,350.667044,2701,79.90,518.48,68.909344,14277,183.91,556.72,373.568927,1043,84.84,2094.17,,,,
65,365.753220,2979,80.19,521.46,70.733765,13676,184.83,563.46,386.087797,944,90.61,2249.39,,,,
66,312.322102,3101,79.98,522.98,77.534754,12909,185.60,567.35,453.451012,1331,96.04,2303.82,,,,
67,339.907011,2848,79.94,531.47,74.767954,12659,186.35,569.64,473.770925,1277,101.17,2551.07,,,,
68,415.625348,2453,79.98,545.99,77.905368,13233,187.29,578.78,324.180776,873,106.51,2893.83,,,,
69,314.342092,3288,80.08,547.51,73.172857,14306,188.32,586.52,571.896791,893,111.51,3006.46,,,,
70,291.148500,3500,79.90,549.95,71.409403,13780,189.11,589.71,484.510051,654,116.70,3082.43,,,,
71,287.698919,3306,80.04,559.39,79.603790,6125,188.97,594.59,457.330050,828,121.28,3458.57,,,,
72,357.542946,2873,80.40,573.18,,,,,482.554559,843,125.79,3477.82,,,,
73,279.716425,3610,80.24,575.15,,,,,512.588158,1097,129.78,3483.33,,,,
74,299.318624,3278,80.07,580.24,,,,,379.962812,479,133.95,3636.97,,,,
75,352.331118,2751,80.09,590.14,,,,,353.058548,127,137.01,3830.44,,,,
76,327.919345,3185,80.50,602.77,,,,,576.978708,188,138.79,3924.92,,,,
77,261.642071,3789,80.39,605.02,,,,,891.506210,155,140.01,3924.92,,,,
78,285.495500,3475,80.50,613.21,,,,,594.745339,132,140.04,3933.33,,,,
79,291.749822,3185,80.65,629.33,,,,,924.545951,74,139.91,3939.64,,,,
80,227.499303,4825,81.01,630.23,,,,,526.104946,29,140.36,3939.64,,,,
81,217.772634,4366,81.02,638.77,,,,,387.570056,15,141.82,3939.64,,,,
82,258.298962,4067,81.22,655.14,,,,,1098.670000,10,143.21,3939.73,,,,
83,234.252058,4341,81.83,663.88,,,,,518.917290,29,145.43,3939.85,,,,
84,209.808054,4517,81.86,666.90,,,,,701.656774,6,145.95,3939.85,,,,
85,258.593217,3941,82.08,678.09,,,,,420.619693,27,146.19,3939.85,,,,
86,241.497038,4303,82.67,694.87,,,,,1385.936287,12,146.44,3939.85,,,,
87,212.414334,4672,82.70,697.71,,,,,1697.852461,3,145.61,3939.85,,,,
88,237.373667,4200,82.94,709.26,,,,,152.395460,2885,144.60,3939.85,,,,
89,229.618403,4250,83.55,729.71,,,,,81.101163,10740,143.66,3939.85,,,,
90,211.516787,4910,83.56,731.89,,,,,86.650898,10612,143.44,3939.93,,,,
91,228.083179,4298,83.82,742.89,,,,,128.725659,6575,143.47,3939.93,,,,
92,266.232200,3308,83.88,764.09,,,,,200.068995,4895,143.62,3939.93,,,,
93,243.389014,4571,84.32,766.09,,,,,190.325012,5385,143.87,3939.93,,,,
94,211.461485,4800,84.33,769.90,,,,,114.177420,3433,143.82,3939.93,,,,
95,249.971302,3946,84.55,780.57,,,,,146.471672,9725,143.23,3956.21,,,,
96,265.111437,3598,85.07,800.32,,,,,388.328381,1878,142.30,3956.21,,,,
97,216.874601,4811,85.06,802.55,,,,,110.811521,8073,141.36,3956.21,,,,
98,224.951410,4607,85.02,804.80,,,,,306.909805,2682,140.44,3956.21,,,,
99,258.352826,3698,85.24,818.87,,,,,399.392565,2837,139.69,3956.21,,,,
100,240.318280,4269,85.83,838.64,,,,,194.833209,3719,139.43,3959.79,,,,
101,217.442312,4608,85.77,842.36,,,,,566.891018,951,139.39,3959.79,,,,
102,207.675238,4722,85.79,852.18,,,,,158.640794,5563,139.87,3959.79,,,,
103,273.001989,3528,85.97,871.67,,,,,446.866947,1622,139.79,3959.79,,,,
104,231.025492,4584,86.59,880.36,,,,,676.476231,860,140.04,4052.03,,,,
105,215.661052,4544,86.56,882.05,,,,,750.311391,743,139.34,4052.03,,,,
106,231.045848,4288,86.50,887.13,,,,,711.922448,903,138.34,4052.07,,,,
107,272.343119,3410,86.68,905.77,,,,,108.774133,8618,137.36,4052.07,,,,
108,226.341306,4903,87.30,916.86,,,,,145.484107,6992,136.38,4052.07,,,,
109,215.738500,4416,87.28,917.64,,,,,248.947507,3788,135.41,4052.07,,,,
110,216.720517,4736,87.23,919.88,,,,,611.651556,1425,134.42,4052.07,,,,
111,249.656212,3385,87.61,944.59,,,,,136.193403,5853,133.43,4052.07,,,,
112,223.560588,5142,88.26,958.74,,,,,109.625215,7468,132.45,4052.07,,,,
113,210.892384,4609,88.47,973.85,,,,,367.142930,2177,131.48,4052.07,,,,
114,258.379099,4006,88.88,986.94,,,,,282.134586,2054,130.53,4052.07,,,,
115,233.082645,4303,89.02,1091.55,,,,,125.657728,6651,129.59,4052.07,,,,
116,250.647188,3850,89.90,1133.94,,,,,519.850250,883,128.67,4052.07,,,,
117,238.031441,4264,89.88,1180.13,,,,,862.702812,256,127.75,4052.07,,,,
118,279.323345,3441,90.04,1195.10,,,,,462.009122,1105,126.84,4052.07,,,,
119,290.756065,3436,90.18,1198.47,,,,,895.096574,434,125.95,4052.07,,,,
120,300.600203,3340,90.40,1211.84,,,,,444.347368,1091,125.37,4052.07,,,,
121,226.110525,4160,90.85,1225.01,,,,,407.850396,701,126.13,4056.51,,,,
122,274.882634,3876,91.10,1074.89,,,,,,,,,,,,
123,287.008166,3513,90.98,1076.34,,,,,,,,,,,,
124,334.678100,2776,91.28,1079.52,,,,,,,,,,,,
125,411.769607,2475,91.80,1112.22,,,,,,,,,,,,
126,381.496232,2694,92.18,1122.81,,,,,,,,,,,,
127,360.541007,1380,92.00,1301.83,,,,,,,,,,,,
128,1032.535551,1195,92.28,1340.23,,,,,,,,,,,,
129,718.351628,1492,91.93,1389.74,,,,,,,,,,,,
130,972.799653,789,92.12,1434.88,,,,,,,,,,,,
131,1165.089447,659,91.70,1435.25,,,,,,,,,,,,
132,1453.936571,753,91.88,1446.38,,,,,,,,,,,,
133,1707.986162,429,91.41,1446.38,,,,,,,,,,,,
134,1861.255587,572,91.58,1450.07,,,,,,,,,,,,
135,1976.526081,367,91.39,1451.13,,,,,,,,,,,,
136,1949.871665,637,91.28,1452.84,,,,,,,,,,,,
137,1995.035390,364,91.12,1453.47,,,,,,,,,,,,
138,1992.344548,637,90.97,1454.65,,,,,,,,,,,,
139,1981.819623,364,90.83,1455.13,,,,,,,,,,,,
140,1991.551866,700,90.45,1457.07,,,,,,,,,,,,
141,1996.726360,303,90.57,1461.72,,,,,,,,,,,,
142,1997.806997,698,90.20,1465.99,,,,,,,,,,,,
143,2034.771588,299,90.30,1468.67,,,,,,,,,,,,
144,2048.429658,640,90.10,1472.78,,,,,,,,,,,,
145,2044.979429,362,90.37,1475.29,,,,,,,,,,,,
146,2017.756890,628,90.24,1475.38,,,,,,,,,,,,
147,1940.524115,371,89.92,1475.38,,,,,,,,,,,,
148,2065.539446,627,89.98,1475.52,,,,,,,,,,,,
149,2024.493325,373,89.57,1475.73,,,,,,,,,,,,
150,1993.114833,617,89.73,1475.91,,,,,,,,,,,,
151,2025.319199,379,89.32,1475.91,,,,,,,,,,,,
152,1999.532515,629,89.49,1475.91,,,,,,,,,,,,
153,1974.583430,375,89.09,1476.04,,,,,,,,,,,,
154,1933.117879,633,89.25,1478.93,,,,,,,,,,,,
155,1946.359616,369,88.84,1478.93,,,,,,,,,,,,
156,1994.130515,631,89.01,1479.17,,,,,,,,,,,,
157,2019.867930,370,88.62,1479.37,,,,,,,,,,,,
158,1966.335779,642,88.77,1479.37,,,,,,,,,,,,
159,1945.917058,363,88.39,1479.69,,,,,,,,,,,,
160,1976.972514,708,88.31,1480.31,,,,,,,,,,,,
161,1954.407144,308,88.19,1480.31,,,,,,,,,,,,
162,1931.453224,775,88.10,1480.53,,,,,,,,,,,,
163,1933.059687,285,87.98,1480.73,,,,,,,,,,,,
164,1982.282082,734,87.90,1480.73,,,,,,,,,,,,
165,1904.124242,356,87.80,1481.05,,,,,,,,,,,,
