unix_ts,NAME,STATE,PID,PPID,CPU,VM_RSS,VM_SIZE,FD,THREADS,CpuUsageFloat64,VmRSSBytes,VmSizeBytes
1458767558,java,R (running),20326,19946,0.00 %,848 kB,11 MB,64,1,0.00,848000,10588000
1458767559,java,S (sleeping),20326,19946,44.55 %,48 MB,7.3 GB,64,25,44.55,47900000,7252668000
1458767560,java,S (sleeping),20326,19946,24.88 %,55 MB,7.6 GB,64,30,24.88,54784000,7589716000
1458767561,java,S (sleeping),20326,19946,16.61 %,55 MB,7.7 GB,64,32,16.61,54792000,7722844000
1458767562,java,S (sleeping),20326,19946,12.47 %,55 MB,7.7 GB,64,32,12.47,54792000,7722844000
1458767563,java,S (sleeping),20326,19946,9.98 %,55 MB,7.7 GB,64,32,9.98,54792000,7722844000
1458767564,java,S (sleeping),20326,19946,8.49 %,55 MB,7.7 GB,64,32,8.49,54632000,7722844000
1458767565,java,S (sleeping),20326,19946,7.26 %,55 MB,7.7 GB,64,32,7.26,54632000,7722844000
1458767566,java,S (sleeping),20326,19946,6.36 %,55 MB,7.7 GB,64,32,6.36,54632000,7722844000
1458767567,java,S (sleeping),20326,19946,5.65 %,55 MB,7.7 GB,64,32,5.65,54632000,7722844000
1458767568,java,S (sleeping),20326,19946,5.09 %,55 MB,7.7 GB,64,32,5.09,54632000,7722844000
1458767569,java,S (sleeping),20326,19946,4.63 %,55 MB,7.7 GB,64,32,4.63,54632000,7722844000
1458767570,java,S (sleeping),20326,19946,4.24 %,55 MB,7.7 GB,64,32,4.24,54632000,7722844000
1458767571,java,S (sleeping),20326,19946,3.99 %,55 MB,7.7 GB,64,32,3.99,54632000,7722844000
1458767572,java,S (sleeping),20326,19946,3.71 %,55 MB,7.7 GB,64,32,3.71,54632000,7722844000
1458767573,java,S (sleeping),20326,19946,3.46 %,55 MB,7.7 GB,64,32,3.46,54632000,7722844000
1458767574,java,S (sleeping),20326,19946,3.24 %,55 MB,7.7 GB,64,32,3.24,54632000,7722844000
1458767575,java,S (sleeping),20326,19946,3.11 %,55 MB,7.7 GB,64,32,3.11,54632000,7722844000
1458767576,java,S (sleeping),20326,19946,2.94 %,55 MB,7.7 GB,64,32,2.94,54632000,7722844000
